id,x,y,ux,uy,fintx,finty,bcx,bcy
0,0.10000000000000001,0,0.24829833054275147,0,-2.0620657958936306e-14,-0.044868382103324528,0,3
1,1.6684000000000001e-15,0.10000000000000001,0,0.28913995154356087,-0.043428098223617796,1.7344589306467206e-13,1,0
2,0,1,0,0.29999999999999999,-0.024137128381521555,0.023390833840737146,1,4
3,1,1,0.14999999999999999,0.29999999999999999,0.023035325431446773,0.023738964907047262,2,4
4,1,0,0.14999999999999999,0,0.022279322540647191,-0.024861084886665375,2,3
5,0.098078499999999999,0.019508999999999999,0.24334657779365321,0.055903648483268287,-6.4814473232921443e-14,-1.5550061238656099e-14,0,0
6,0.092387999999999998,0.038268299999999998,0.22923143555262157,0.10952571842262439,1.2153299200345913e-13,8.7582718855117037e-14,0,0
7,0.083146999999999999,0.055557000000000002,0.20504836545001173,0.15745886823117364,2.6204472619584251e-13,2.0378837506385139e-13,0,0
8,0.070710700000000001,0.070710700000000001,0.17337432653631346,0.19476278172254463,2.3504809210095345e-13,1.8403334411942751e-13,0,0
9,0.055557000000000002,0.083146999999999999,0.13651749022918011,0.23322558537168989,3.4927819642614766e-13,4.6860182834757014e-13,0,0
10,0.038268299999999998,0.092387999999999998,0.096152791213235431,0.26179543971651287,4.7040279657628581e-15,-1.1798071200552762e-14,0,0
11,0.019508999999999999,0.098078499999999999,0.048585587865151256,0.28091852111583693,7.9898110696974278e-15,4.7819821019645659e-13,0,0
12,0,0.96785699999999997,0,0.29438805797038353,-0.048271559922048596,-1.0061396160665481e-16,1,0
13,0,0.93571400000000005,0,0.28879622380704828,-0.04828149225914042,9.7144514654701197e-17,1,0
14,0,0.90357100000000001,0,0.28324226091061999,-0.048300143885194796,3.4694469519536142e-17,1,0
15,0,0.87142900000000001,0,0.27774573665114327,-0.048295513574541857,3.1225022567582528e-17,1,0
16,0,0.83928599999999998,0,0.27234365828915358,-0.04833304545976215,-9.3675067702747583e-17,1,0
17,0,0.80714300000000005,0,0.26704785461532621,-0.048356642713294609,-1.7347234759768071e-16,1,0
18,0,0.77500000000000002,0,0.26188407348397991,-0.048367828404755377,-4.163336342344337e-17,1,0
19,0,0.74285699999999999,0,0.25687020518140302,-0.048347399189570123,-6.2450045135165055e-17,1,0
20,0,0.71071399999999996,0,0.25192483153768597,-0.048526796195537049,6.2450045135165055e-17,1,0
21,0,0.67857100000000004,0,0.24717411532334932,-0.048580843052680733,-2.0816681711721685e-17,1,0
22,0,0.64642900000000003,0,0.24265387818514697,-0.048659649869271619,-4.9266146717741321e-16,1,0
