id,x,y,ux,uy,fintx,finty,bcx,bcy
0,0.10000000000000001,0,0.39353078841886169,0,2.056800910144041e-13,-0.05740904981133417,0,3
1,1.6684000000000001e-15,0.10000000000000001,0,0.46213317823743894,-0.05729622025625615,6.3568941777170096e-15,1,0
2,0,1,0,0.40000000000000002,-0.029162017790656778,0.028243929808772834,1,4
3,1,1,0.20000000000000001,0.40000000000000002,0.028117355097205587,0.028269258776522834,2,4
4,1,0,0.20000000000000001,0,0.027009939760143892,-0.029069967687013275,2,3
5,0.098078499999999999,0.019508999999999999,0.3837887624097574,0.089272456871110309,9.234765729893013e-13,2.5963953209640067e-13,0,0
6,0.092387999999999998,0.038268299999999998,0.36100441830543023,0.17376452015159108,6.9754271803112999e-13,9.2301166709773952e-14,0,0
7,0.083146999999999999,0.055557000000000002,0.32416328439465847,0.24749973117076141,-4.1651126991837373e-12,-2.5164037520397642e-12,0,0
8,0.070710700000000001,0.070710700000000001,0.27397987268164581,0.30687192033053518,1.1811038258535689e-13,1.3424678035889315e-13,0,0
9,0.055557000000000002,0.083146999999999999,0.21499800618685214,0.36831119591402323,5.8008589251534737e-13,8.0913541925659027e-13,0,0
10,0.038268299999999998,0.092387999999999998,0.15424681197092763,0.41364080607181897,-3.7788348838940777e-13,-4.521834295889704e-13,0,0
11,0.019508999999999999,0.098078499999999999,0.076052216079795384,0.44732869621290772,1.6879032893601931e-13,3.2009637995766838e-13,0,0
12,0,0.96785699999999997,0,0.39522897506266286,-0.058313709585042367,-1.214306433183765e-16,1,0
13,0,0.93571400000000005,0,0.39049470929928343,-0.058317087516437646,2.8449465006019636e-16,1,0
14,0,0.90357100000000001,0,0.38582920437640061,-0.05832790578866362,-2.3592239273284576e-16,1,0
15,0,0.87142900000000001,0,0.38126758323631238,-0.058284587779897007,2.4633073358870661e-16,1,0
16,0,0.83928599999999998,0,0.37687719555613208,-0.058300335797849372,-1.6306400674181987e-16,1,0
17,0,0.80714300000000005,0,0.37267588779590222,-0.058285551339845983,-1.0408340855860843e-16,1,0
18,0,0.77500000000000002,0,0.36870651769398849,-0.058238616931971091,2.0122792321330962e-16,1,0
19,0,0.74285699999999999,0,0.3649952509532331,-0.05814128517352514,-1.9081958235744878e-16,1,0
20,0,0.71071399999999996,0,0.36139577481678303,-0.058420212830664391,-9.7144514654701197e-17,1,0
21,0,0.67857100000000004,0,0.35812727771970276,-0.05842008552844586,-4.163336342344337e-17,1,0
22,0,0.64642900000000003,0,0.3552500955085901,-0.058446442876407004,-1.3877787807814457e-16,1,0
23,0,0.614286,0,0.35282187360623712,-0.058906440785696575,-9.3675067702747583e-17,1,0
24,0,0.58214299999999997,0,0.35095642120407766,-0.058649972649829206,3.4694469519536142e-18,1,0
25,0,0.55000000000000004,0,0.3497686719440502,-0.05870438890385471,-1.2490009027033011e-16,1,0
26,0,0.51785700000000001,0,0.34935217381453604,-0.058749327015812786,-1.7347234759768071e-17,1,0
27,0,0.48571399999999998,0,0.3498124417466979,-0.058615829688893721,1.0755285551056204e-16,1,0
28,0,0.453571,0,0.35098797394593667,-0.0591342026383277,-4.8572257327350599e-17,1,0
29,0,0.421429,0,0.35325008724137419,-0.059289346399765221,-5.3429483060085659e-16,1,0
30,0,0.38928600000000002,0,0.35673520733973574,-0.059525840056882572,-2.7755575615628914e-16,1,0
31,0,0.35714299999999999,0,0.36161264870962373,-0.060100048309844674,-4.4755865680201623e-16,1,0
32,0,0.32500000000000001,0,0.36736603763498288,-0.061903372766723724,-6.106226635438361e-16,1,0
33,0,0.29285699999999998,0,0.37498448880719804,-0.063233070429422361,-1.2177758801357186e-15,1,0
34,0,0.260714,0,0.38451305238095174,-0.065486264253544299,-3.3792413312028202e-15,1,0
35,0,0.228571,0,0.39600485725163492,-0.067645073323338259,-2.0894744268140641e-15,1,0
36,0,0.19642899999999999,0,0.40962658305099514,-0.074809889564466561,-1.3079815008865125e-15,1,0
37,0,0.16428599999999999,0,0.42530412446682331,-0.084294830067932938,7.7117132124548959e-15,1,0
38,0,0.13214300000000001,0,0.44293000091547141,-0.097731454032939438,3.1077571072124499e-15,1,0
39,0.96875,1,0.19575983001471634,0.40000000000000002,-1.0085282489778052e-16,0.056546749943459984,0,4
40,0.9375,1,0.19150079152557253,0.40000000000000002,2.6151295213529269e-17,0.056550642430886242,0,4
41,0.90625,1,0.18720825679464881,0.40000000000000002,8.7270651588557818e-17,0.056556510881333601,0,4
42,0.875,1,0.18286837230346015,0.40000000000000002,1.0930473140372075e-16,0.056566091288155228,0,4
43,0.84375,1,0.17848733324123325,0.40000000000000002,-2.4628160567776586e-16,0.056550635993749911,0,4
44,0.8125,1,0.17402833222206832,0.40000000000000002,-6.9881912214374287e-17,0.05656018604613245,0,4
45,0.78125,1,0.1694780635304487,0.40000000000000002,1.4300626655083803e-16,0.056579801569097546,0,4
46,0.75,1,0.16481694881298117,0.40000000000000002,-1.1753429176100672e-17,0.056601475073782763,0,4
47,0.71875,1,0.16009790392985582,0.40000000000000002,6.0762755504234489e-17,0.056528353849801267,0,4
48,0.6875,1,0.15525243256161622,0.40000000000000002,-1.0207085827593221e-16,0.056533278170889004,0,4
49,0.65625,1,0.15026984641361929,0.40000000000000002,-1.6543569899413191e-16,0.056533466702232194,0,4
50,0.625,1,0.14513708559176189,0.40000000000000002,1.866877556407423e-16,0.05647100241078841,0,4
51,0.59375,1,0.13982268870253176,0.40000000000000002,-1.7094818941486289e-17,0.056532650022174238,0,4
52,0.5625,1,0.13431545607108847,0.40000000000000002,-8.1189802060219196e-17,0.056533893765094136,0,4
53,0.53125,1,0.12860347979504869,0.40000000000000002,7.8580940582675951e-17,0.056540802034122498,0,4
54,0.5,1,0.12267627431402682,0.40000000000000002,-8.9786762958376717e-17,0.056517892609724736,0,4
55,0.46875,1,0.11658362127847716,0.40000000000000002,1.4066506748462715e-16,0.056522667647141853,0,4
56,0.4375,1,0.11026331134597656,0.40000000000000002,-1.0313473165768361e-17,0.056549113796733254,0,4
57,0.40625,1,0.10370302191823638,0.40000000000000002,1.9916116282200913e-16,0.05657775057389703,0,4
58,0.375,1,0.096876526512722785,0.40000000000000002,-3.4161855202302638e-16,0.056594398750364872,0,4
59,0.34375,1,0.089870627201653785,0.40000000000000002,6.9585450682835281e-17,0.056478569645588041,0,4
60,0.3125,1,0.082610102608144526,0.40000000000000002,3.5511009280689287e-17,0.056497069607702816,0,4
